humanSusceptibleNumber,humanExposureNumber,humanAsymptomaticNumber,humanInfectNumber,humanRecoverNumber
222.1529283,345.8273964,109.3848237,218.7696473,93.17185789
219.5821782,342.7177995,110.3395675,220.6791351,95.9181249
219.5821782,342.7177995,110.3395675,220.6791351,95.9181249
219.5821782,342.7177995,110.3395675,220.6791351,95.9181249
219.5821782,342.7177995,110.3395675,220.6791351,95.9181249
219.5821782,342.7177995,110.3395675,220.6791351,95.9181249
217.1835809,339.5900102,111.2443672,222.4887345,98.66708922
217.1835809,339.5900102,111.2443672,222.4887345,98.66708922
217.1835809,339.5900102,111.2443672,222.4887345,98.66708922
217.1835809,339.5900102,111.2443672,222.4887345,98.66708922
217.1835809,339.5900102,111.2443672,222.4887345,98.66708922
214.9404473,336.458817,112.1002447,224.2004895,101.4170932
214.9404473,336.458817,112.1002447,224.2004895,101.4170932
214.9404473,336.458817,112.1002447,224.2004895,101.4170932
214.9404473,336.458817,112.1002447,224.2004895,101.4170932
214.9404473,336.458817,112.1002447,224.2004895,101.4170932
212.8524067,333.3232069,112.9081907,225.8163815,104.1665286
212.8524067,333.3232069,112.9081907,225.8163815,104.1665286
212.8524067,333.3232069,112.9081907,225.8163815,104.1665286
212.8524067,333.3232069,112.9081907,225.8163815,104.1665286
212.8524067,333.3232069,112.9081907,225.8163815,104.1665286
210.9026773,330.1976976,113.6693134,227.3386267,106.9138404
210.9026773,330.1976976,113.6693134,227.3386267,106.9138404
210.9026773,330.1976976,113.6693134,227.3386267,106.9138404
210.9026773,330.1976976,113.6693134,227.3386267,106.9138404
209.0704914,327.1001914,114.3848678,228.7697355,109.6575309
209.0704914,327.1001914,114.3848678,228.7697355,109.6575309
209.0704914,327.1001914,114.3848678,228.7697355,109.6575309
209.0704914,327.1001914,114.3848678,228.7697355,109.6575309
209.0704914,327.1001914,114.3848678,228.7697355,109.6575309
207.3253174,324.05735,115.0563366,230.1126732,112.3961668
207.3253174,324.05735,115.0563366,230.1126732,112.3961668
207.3253174,324.05735,115.0563366,230.1126732,112.3961668
207.3253174,324.05735,115.0563366,230.1126732,112.3961668
207.3253174,324.05735,115.0563366,230.1126732,112.3961668
205.6882229,321.0463179,115.6849535,231.3699069,115.1283703
205.6882229,321.0463179,115.6849535,231.3699069,115.1283703
205.6882229,321.0463179,115.6849535,231.3699069,115.1283703
205.6882229,321.0463179,115.6849535,231.3699069,115.1283703
205.6882229,321.0463179,115.6849535,231.3699069,115.1283703
204.1494713,318.0740383,116.2719921,232.5439842,117.8528197
204.1494713,318.0740383,116.2719921,232.5439842,117.8528197
204.1494713,318.0740383,116.2719921,232.5439842,117.8528197
204.1494713,318.0740383,116.2719921,232.5439842,117.8528197
204.1494713,318.0740383,116.2719921,232.5439842,117.8528197
202.7307538,315.117525,116.8184805,233.6369609,120.5682408
202.7307538,315.117525,116.8184805,233.6369609,120.5682408
202.7307538,315.117525,116.8184805,233.6369609,120.5682408
202.7307538,315.117525,116.8184805,233.6369609,120.5682408
201.4074194,312.1983385,117.32563,234.6512601,123.2734127
201.4074194,312.1983385,117.32563,234.6512601,123.2734127
201.4074194,312.1983385,117.32563,234.6512601,123.2734127
201.4074194,312.1983385,117.32563,234.6512601,123.2734127
201.4074194,312.1983385,117.32563,234.6512601,123.2734127
200.1581895,309.3342772,117.7947964,235.5895927,125.9671718
200.1581895,309.3342772,117.7947964,235.5895927,125.9671718
200.1581895,309.3342772,117.7947964,235.5895927,125.9671718
200.1581895,309.3342772,117.7947964,235.5895927,125.9671718
200.1581895,309.3342772,117.7947964,235.5895927,125.9671718
198.9785366,306.5267913,118.2273201,236.4546402,128.6484108
198.9785366,306.5267913,118.2273201,236.4546402,128.6484108
198.9785366,306.5267913,118.2273201,236.4546402,128.6484108
198.9785366,306.5267913,118.2273201,236.4546402,128.6484108
198.9785366,306.5267913,118.2273201,236.4546402,128.6484108
197.8605621,303.7805169,118.6245578,237.2491156,131.3160786
197.8605621,303.7805169,118.6245578,237.2491156,131.3160786
197.8605621,303.7805169,118.6245578,237.2491156,131.3160786
197.8605621,303.7805169,118.6245578,237.2491156,131.3160786
197.8605621,303.7805169,118.6245578,237.2491156,131.3160786
196.7819778,301.1136409,118.9880105,237.9760211,133.9691848
196.7819778,301.1136409,118.9880105,237.9760211,133.9691848
196.7819778,301.1136409,118.9880105,237.9760211,133.9691848
196.7819778,301.1136409,118.9880105,237.9760211,133.9691848
195.7585638,298.507756,119.3189724,238.6379449,136.6067921
195.7585638,298.507756,119.3189724,238.6379449,136.6067921
195.7585638,298.507756,119.3189724,238.6379449,136.6067921
195.7585638,298.507756,119.3189724,238.6379449,136.6067921
195.7585638,298.507756,119.3189724,238.6379449,136.6067921
194.7879686,295.9622073,119.618704,239.2374081,139.2280143
194.7879686,295.9622073,119.618704,239.2374081,139.2280143
194.7879686,295.9622073,119.618704,239.2374081,139.2280143
194.7879686,295.9622073,119.618704,239.2374081,139.2280143
